alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,qdrift,0,1,1,3162,3162,3162,12639.180155970116,0.00036204643698539143,0.0003307227630651166,11.626389026641846
3.0,qdrift,0,1,1,10000,10000,10000,39972.10675512371,0.00011450643754584339,0.00010459505144644332,12.31511402130127
3.0,qdrift,0,1,1,31623,31623,31623,126403.7931917277,3.621259374303321e-05,3.307767500571046e-05,16.44152593612671
3.0,qdrift,0,1,1,100000,100000,100000,399721.06755123707,1.1451779750578067e-05,1.0460355716723768e-05,14.901767253875732
3.0,qdrift,0,1,1,316228,316228,316228,1264029.937495926,3.621399066491012e-06,3.3078771617400804e-06,17.823752880096436
3.0,qdrift,0,1,1,1000000,1000000,1000000,3997210.6755123707,1.145152433881869e-06,1.045948160194321e-06,17.835864067077637
3.0,composite,1,2,1,1,1,5,19.983405814225836,0.05817796651690772,0.05328385806632574,32.44926714897156
3.0,composite,1,2,1,4,4,8,31.933623256903346,0.020940913791253513,0.013930621774060903,0.11255216598510742
3.0,composite,1,2,2,1,2,10,39.96681162845167,0.028337070245257938,0.0269024544857287,0.2044968605041504
3.0,composite,1,2,2,4,8,16,63.86724651380669,0.007750814195628814,0.006839537513298577,0.22223186492919922
3.0,composite,1,2,4,1,4,20,79.93362325690335,0.014243305586373892,0.01359858996139618,0.4057047367095947
3.0,composite,1,2,4,4,16,32,127.73449302761338,0.003653499271934374,0.0034263007637345133,0.4365499019622803
3.0,composite,1,2,8,1,8,40,159.8672465138067,0.007150729673960002,0.006834590088088177,0.8108310699462891
3.0,composite,1,2,8,4,32,64,255.46898605522676,0.001802712510111039,0.0017151413818529138,0.8782773017883301
3.0,composite,1,2,16,1,16,80,319.7344930276134,0.003583780894735149,0.0034259452652395384,1.6436758041381836
3.0,composite,1,2,16,4,64,128,510.93797211045353,0.0008987157715157796,0.0008580911522538814,1.807391881942749
3.0,composite,1,4,1,1,5,105,419.9170290711292,0.06199232265822735,0.05920606469931555,0.5199429988861084
3.0,composite,1,4,1,4,20,120,479.6681162845167,0.016151801884367024,0.015327735854976376,0.5562410354614258
3.0,composite,1,4,2,1,10,210,839.8340581422584,0.03145959106735596,0.030092176825149974,1.0144710540771484
3.0,composite,1,4,2,4,40,240,959.3362325690334,0.008005419452597189,0.007651215712499271,1.0854549407958984
3.0,composite,1,4,4,1,20,420,1679.6681162845168,0.015913388079612643,0.015217926279159855,2.021466016769409
3.0,composite,1,4,4,4,80,480,1918.6724651380669,0.0040132193642070085,0.0038364174961853514,2.19330096244812
3.0,composite,2,2,1,1,1,9,35.9564860049541,0.019385094132293924,0.011685393860461524,32.73037791252136
3.0,composite,2,2,1,2,2,10,39.91297200990821,0.015649770042608972,0.005939571686945366,0.10643291473388672
3.0,composite,2,2,1,8,8,16,63.65188803963284,0.013384431986479369,0.0016103271613692183,0.12458205223083496
3.0,composite,2,2,2,1,2,18,71.9129720099082,0.006517485170051252,0.005680264957822034,0.20128607749938965
3.0,composite,2,2,2,2,4,20,79.82594401981642,0.004108799500286369,0.0028469663010676216,0.20796418190002441
3.0,composite,2,2,2,8,16,32,127.30377607926567,0.0026670101927910306,0.000716576423317572,0.2415759563446045
3.0,composite,2,2,4,1,4,36,143.8259440198164,0.002964029548141133,0.002844358801986968,0.42011499404907227
3.0,composite,2,2,4,2,8,40,159.65188803963284,0.0016072780280844481,0.0014234591654322948,0.41902804374694824
3.0,composite,2,2,4,8,32,64,254.60755215853135,0.0007381357848851944,0.0003563047073651404,0.48364806175231934
3.0,composite,2,2,8,1,8,72,287.6518880396328,0.0014476548456657879,0.0014234035903080144,0.8209800720214844
3.0,composite,2,2,8,2,16,80,319.3037760792657,0.0007408104481641321,0.0007120058992279299,0.8353621959686279
3.0,composite,2,2,8,8,64,128,509.2151043170627,0.00024715606783905144,0.00017807126421331976,0.9617867469787598
3.0,composite,2,2,16,1,16,144,575.3037760792656,0.0007196740042979094,0.0007120146858663468,1.6414330005645752
3.0,composite,2,2,16,2,32,160,638.6075521585313,0.00036207644328229815,0.0003560831904861894,1.672302007675171
3.0,composite,2,2,16,8,128,256,1018.4302086341254,0.000100090932713581,8.903589259623423e-05,1.9453709125518799
3.0,composite,2,4,1,1,5,205,819.7824300247705,0.013039346791791546,0.012779852134666259,0.5072760581970215
3.0,composite,2,4,1,2,10,210,839.564860049541,0.006651724771578472,0.0064143658533414305,0.5225198268890381
