n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.1875,0.07375000000000012,0.6337500000000005,0.15921683328090683,0.17093366656181352,0.012966833280907086,0.0059846922834954075,3.3306690738754696e-16,0.5005562500000008,0.5005562500000007,0.4500829209354253,-0.7915194346289751,0.7075000000000006,0.17093366656181352
2,0.2,0.19,0.0746560000000001,0.6298560000000006,0.1587269353323502,0.1681418706647002,0.010982935332350507,0.00515248818060865,5.551115123125783e-16,0.49633715814400103,0.4963371581440011,0.4506010836787735,-0.788063226744186,0.7045120000000007,0.1681418706647002
2,0.2,0.1925,0.07557400000000007,0.6259740000000003,0.1582370373837935,0.16532607476758687,0.009011037383793719,0.004296284077721868,2.220446049250313e-16,0.4921695963040005,0.4921695963040005,0.45110822747351126,-0.7845507363715668,0.7015480000000003,0.16532607476758687
2,0.2,0.195,0.0765040000000001,0.6221040000000008,0.15774713943523694,0.16248627887047373,0.007051139435237386,0.0034160799748352844,5.551115123125783e-16,0.48805313766400116,0.4880531376640012,0.45160415980130986,-0.7809816091427524,0.6986080000000009,0.16248627887047373
2,0.2,0.1975,0.07744600000000011,0.6182460000000007,0.15725724148668027,0.15962248297336035,0.005103241486680732,0.0025118758719484546,5.551115123125783e-16,0.4839873588640012,0.4839873588640012,0.4520886871968632,-0.7773554963978311,0.6956920000000009,0.15962248297336035
2,0.2,0.2,0.07840000000000011,0.6144000000000004,0.1567673435381236,0.15673468707624694,0.003167343538123868,0.001583671769061823,3.3306690738754696e-16,0.4799718400000007,0.4799718400000007,0.45256161529481376,-0.7736720554272516,0.6928000000000005,0.15673468707624694
2,0.2,0.2025,0.07936600000000013,0.6105660000000003,0.15627744558956697,0.15382289117913373,0.001243445589567127,0.0006314676661749452,3.3306690738754696e-16,0.4760061646240006,0.47600616462400064,0.45302274887834415,-0.7699309497167834,0.6899320000000004,0.15382289117913373
2,0.2,0.20500000000000002,0.0803440000000001,0.606744,0.1557875476410103,0.1508870952820205,0.0,0.0,0.0,0.47208991974400005,0.47208991974400016,0.45347189192944803,-0.766131849195445,0.687088,0.1508870952820205
2,0.2,0.20750000000000002,0.08133400000000013,0.6029340000000001,0.1552976496924537,0.14792729938490723,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.4682226958240002,0.46822269582400017,0.45390884768089007,-0.7622744304863003,0.6842680000000002,0.147927299384907
2,0.2,0.21,0.08233600000000015,0.5991360000000004,0.15480775174389713,0.14494350348779395,4.440892098500626e-16,0.0,4.440892098500626e-16,0.46440408678400086,0.46440408678400086,0.4543334186698705,-0.7583583771600297,0.6814720000000006,0.14494350348779395
2,0.2,0.2125,0.08335000000000012,0.5953500000000002,0.1543178537953404,0.14193570759068064,2.220446049250313e-16,0.0,2.220446049250313e-16,0.4606336900000004,0.4606336900000005,0.45474540679340014,-0.7543833799911592,0.6787000000000003,0.14193570759068064
2,0.2,0.215,0.08437600000000016,0.5915760000000004,0.15382795584678385,0.1389039116935673,4.440892098500626e-16,0.0,3.3306690738754696e-16,0.4569111063040008,0.45691110630400067,0.4551446133653979,-0.7503491372168436,0.6759520000000006,0.13890391169356753
2,0.2,0.2175,0.08541400000000006,0.587814,0.15333805789822705,0.13584811579645395,0.0,0.0,0.0,0.453235939984,0.45323593998399997,0.4555308391755157,-0.746255354798077,0.673228,0.13584811579645395
