a,kt,gamma,R,neg,margin
1.0,2.325,0.9022165559486499,0.0,8.881784197001252e-16,-0.0004426074165559785
1.0,2.35,0.9046308377844504,0.0,3.3306690738754696e-16,-0.00041062614771051394
1.0,2.375,0.9069855107893365,0.0,0.0,-0.00038095573385461823
1.0,2.4000000000000004,0.9092820467105875,0.0,-1.1102230246251565e-16,-0.0003534292006631346
1.0,2.4250000000000003,0.9115218809579128,0.0,9.992007221626409e-16,-0.0003278916387935324
1.0,2.45,0.9137064135006295,0.0,6.661338147750939e-16,-0.00030419933211229465
1.0,2.475,0.9158370097426897,0.0,4.440892098500626e-16,-0.0002822189489126775
1.0,2.5,0.9179150013761012,0.0,3.3306690738754696e-16,-0.00026182679157222774
1.0,2.5250000000000004,0.9199416872132795,0.0,2.220446049250313e-16,-0.0002429081004274376
1.0,2.5500000000000003,0.9219183339988468,0.0,4.440892098500626e-16,-0.00022535640794799693
1.0,2.575,0.9238461772013897,0.0,5.551115123125783e-16,-0.00020907293957615178
1.0,2.6,0.9257264217856661,0.0,4.440892098500626e-16,-0.0001939660578593397
1.0,2.625,0.9275602429657486,0.0,1.1102230246251565e-16,-0.00017995074674783055
1.0,2.6500000000000004,0.9293487869395705,0.0,3.3306690738754696e-16,-0.00016694813315525832
1.0,2.6750000000000003,0.9310931716053374,0.0,4.440892098500626e-16,-0.0001548850430895025
1.0,2.7,0.9327944872602503,0.0,-5.551115123125783e-17,-0.00014369358985600353
1.0,2.725,0.9344537972819756,0.0,4.440892098500626e-16,-0.00013331079201607494
1.0,2.75,0.9360721387932924,0.0,2.220446049250313e-16,-0.0001236782189502138
1.0,2.7750000000000004,0.9376505233103266,0.0,6.661338147750939e-16,-0.00011474166203177717
1.0,2.8000000000000003,0.9391899373747821,0.0,2.220446049250313e-16,-0.00010645082956049355
1.0,2.825,0.9406913431705612,0.0,3.3306690738754696e-16,-9.87590637390192e-05
1.0,2.85,0.9421556791251615,0.0,2.220446049250313e-16,-9.162307809978216e-05
1.0,2.875,0.9435838604962227,0.0,3.3306690738754696e-16,-8.500271390444325e-05
1.0,2.9000000000000004,0.9449767799435927,0.0,8.881784197001252e-16,-7.886071414509652e-05
1.0,2.9250000000000003,0.9463353080872698,0.0,-5.551115123125783e-17,-7.316251387533205e-05
1.0,2.95,0.9476602940515676,0.0,3.3306690738754696e-16,-6.787604569126226e-05
1.0,2.975,0.9489525659958457,0.0,1.1102230246251565e-15,-6.297155926780724e-05
1.0,3.0,0.950212931632136,0.0,3.3306690738754696e-16,-5.842145393465973e-05
1.0,3.0250000000000004,0.95144217872999,0.0,9.992007221626409e-16,-5.420012334972481e-05
1.0,3.0500000000000003,0.9526410756088591,0.0,8.881784197001252e-16,-5.028381139591168e-05
